subject_set,pc,explained_variance_fraction,cumulative_explained_variance
optimal414,PC135,8.185123944529887e-4,0.9508328021965773
optimal414,PC136,8.058123356821742e-4,0.9516386145322595
optimal414,PC137,7.96430582823242e-4,0.9524350451150827
optimal414,PC138,7.906467014476556e-4,0.9532256918165304
optimal414,PC139,7.719334854347246e-4,0.9539976253019651
optimal414,PC140,7.562855268004522e-4,0.9547539108287655
optimal414,PC141,7.446218893944472e-4,0.9554985327181599
optimal414,PC142,7.317389752008997e-4,0.9562302716933607
optimal414,PC143,7.220816948749082e-4,0.9569523533882356
optimal414,PC144,7.175495544227759e-4,0.9576699029426584
optimal414,PC145,7.116298383894325e-4,0.9583815327810479
optimal414,PC146,6.930194241216259e-4,0.9590745522051695
optimal414,PC147,6.899366612714033e-4,0.9597644888664408
optimal414,PC148,6.78821274744075e-4,0.9604433101411849
optimal414,PC149,6.68662832121386e-4,0.9611119729733063
optimal414,PC150,6.609284162907585e-4,0.961772901389597
